Route,Shift 1 - # Trips Bus T-1,Shift 1 - # Trips Bus T-2,Shift 1 - # Buses T-1,Shift 1 - # Buses T-2,Shift 2 - # Trips Bus T-1,Shift 2 - # Trips Bus T-2,Shift 2 - # Buses T-1,Shift 2 - # Buses T-2,Shift 3 - # Trips Bus T-1,Shift 3 - # Trips Bus T-2,Shift 3 - # Buses T-1,Shift 3 - # Buses T-2,Shift 4 - # Trips Bus T-1,Shift 4 - # Trips Bus T-2,Shift 4 - # Buses T-1,Shift 4 - # Buses T-2
Route 1,2,15,4,3,2,7,2,1,20,1,3,2,2,1,2,1
Route 2,21,0,6,0,0,7,2,1,2,11,4,3,3,0,2,0
Route 3,65,1,17,12,32,1,5,4,58,0,12,0,1,5,5,3
Route 4,0,13,7,5,10,0,2,0,17,0,6,0,1,1,1,1
Route 5,0,7,3,2,6,0,1,0,8,1,2,2,2,0,1,0
Route 6,16,0,4,0,8,0,2,0,14,0,3,0,2,0,1,0
Route 7,23,0,4,0,1,7,2,1,2,12,3,2,3,0,1,0
Route 8,16,0,3,0,8,0,1,0,14,0,2,0,2,0,1,0
Route 9,35,0,9,0,16,1,3,2,29,1,7,5,0,3,3,2
Route 10,16,0,3,0,8,0,1,0,14,0,2,0,2,0,1,0
Route 11,1,3,2,1,6,0,2,0,5,0,2,0,2,0,2,0
Route 12,16,0,3,0,8,0,1,0,14,0,2,0,2,0,1,0
Route 13,9,0,2,0,6,0,1,0,8,0,2,0,2,0,1,0
Route 14,16,0,3,0,8,0,1,0,14,0,2,0,2,0,1,0
Route 15,23,0,4,0,1,7,2,1,2,12,3,2,3,0,1,0
Route 16,16,0,4,0,8,0,2,0,14,0,3,0,2,0,1,0
Route 17,35,0,9,0,16,1,3,2,29,1,7,5,0,3,3,2
Route 18,16,0,4,0,8,0,2,0,14,0,3,0,2,0,1,0
Route 19,23,0,6,0,10,1,2,2,20,0,4,0,3,0,2,0
Route 20,4,0,1,0,6,0,1,0,4,0,1,0,2,0,1,0
Route 21,9,0,2,0,6,0,1,0,8,0,2,1,2,0,1,0
Route 22,16,0,4,0,8,0,2,0,14,0,3,0,2,0,1,0
Route 23,0,14,4,3,0,7,2,1,17,1,3,2,3,0,1,0
Route 24,16,1,4,3,9,0,2,0,14,1,3,2,1,1,2,1
Route 25,35,0,7,0,16,1,3,2,2,19,6,4,0,3,3,2
Route 26,16,0,3,0,8,0,1,0,14,0,2,0,2,0,1,0
Route 27,1,3,2,1,6,0,1,0,5,0,1,0,2,0,1,0
Route 28,16,0,4,0,8,0,2,0,14,0,3,0,2,0,1,0
Route 29,0,6,2,1,6,0,1,0,8,0,2,0,2,0,1,0
Route 30,2,21,7,5,17,0,3,0,29,0,5,0,0,3,3,2
Route 31,1,3,2,1,6,0,2,0,5,0,2,0,2,0,2,0
Route 32,16,0,3,0,8,0,1,0,14,0,2,0,2,0,1,0
Route 33,35,0,9,0,16,1,3,2,29,1,7,5,0,3,3,2
Route 34,16,0,3,0,8,0,1,0,14,0,2,0,2,0,1,0
Route 35,1,3,2,1,6,0,1,0,5,0,1,0,2,0,1,0
Route 36,16,0,4,0,8,0,2,0,14,0,3,0,2,0,1,0
Route 37,9,0,3,0,6,0,1,0,8,0,2,0,2,0,1,0
Route 38,14,0,3,0,7,0,1,0,2,7,2,1,2,0,1,0
Route 39,23,0,5,0,1,7,2,1,20,0,4,0,3,0,2,0
Route 40,0,13,4,3,10,0,1,0,17,0,3,0,1,1,1,1
Route 41,35,0,9,0,16,1,3,2,29,1,7,5,0,3,3,2
Route 42,16,0,4,0,8,0,2,0,14,0,3,0,2,0,1,0
Route 43,23,0,4,0,1,7,2,1,20,0,3,0,3,0,1,0
Route 44,16,0,4,0,8,0,1,0,14,0,3,0,2,0,1,0
Route 45,9,0,2,0,6,0,1,0,8,0,2,1,2,0,1,0
Route 46,1,3,2,1,6,0,2,0,5,0,2,0,2,0,2,0
Route 47,23,0,4,0,1,7,2,1,2,12,3,2,3,0,1,0
Route 48,4,0,1,0,6,0,1,0,4,0,1,0,2,0,1,0
Route 49,0,7,2,1,6,0,1,0,2,5,2,1,2,0,1,0
Route 50,16,0,3,0,8,0,1,0,14,0,2,0,2,0,1,0
Route 51,23,0,4,0,1,7,2,1,2,12,3,2,3,0,1,0
Route 52,16,0,3,0,8,0,1,0,14,0,2,0,2,0,1,0
Route 53,9,0,2,0,6,0,1,0,8,0,1,1,2,0,1,0
Route 54,16,0,3,0,8,0,1,0,14,0,2,0,2,0,1,0
Route 55,23,0,4,0,1,7,2,1,2,12,3,2,3,0,1,0
Route 56,16,0,3,0,8,0,1,0,14,0,2,0,2,0,1,0
Route 57,35,0,5,0,1,11,2,1,29,1,4,3,0,3,2,1
Route 58,16,0,3,0,8,0,1,0,14,0,2,0,2,0,1,0
Route 59,23,0,4,0,1,7,2,1,2,12,3,2,3,0,1,0
Route 60,16,0,3,0,8,0,1,0,14,0,2,0,2,0,1,0
Route 61,9,0,2,0,6,0,1,0,8,0,2,0,2,0,1,0
Route 62,16,0,3,0,8,0,1,0,14,0,2,0,2,0,1,0
Route 63,23,0,4,0,1,7,1,1,20,0,3,0,3,0,1,0
Route 64,16,0,3,0,8,0,1,0,14,0,2,0,2,0,1,0
Route 65,1,3,1,1,6,0,1,0,5,0,1,0,2,0,1,0
Route 66,16,0,4,0,8,0,1,0,14,0,3,0,2,0,1,0
Route 67,23,0,3,0,1,7,1,1,20,0,2,0,3,0,1,0
Route 68,16,0,3,0,8,0,1,0,14,0,2,0,2,0,1,0
Route 69,0,6,2,1,6,0,1,0,8,0,1,1,2,0,1,0
Route 70,4,0,1,0,6,0,1,0,4,0,1,0,2,0,1,0
Route 71,23,0,4,0,1,7,1,1,2,12,3,2,3,0,1,0
Route 72,16,0,4,0,8,0,2,0,14,0,3,0,2,0,1,0
Route 73,35,0,5,0,1,11,2,1,29,1,4,3,0,3,2,1
Route 74,16,0,3,0,8,0,1,0,14,0,2,0,2,0,1,0
Route 75,23,0,6,0,10,1,2,2,20,0,4,0,3,0,2,0
Route 76,16,0,3,0,8,0,1,0,14,0,2,0,2,0,1,0
Route 77,0,6,2,1,6,0,1,0,8,0,1,0,2,0,1,0
Route 78,16,0,4,0,8,0,2,0,14,0,3,0,2,0,1,0
Route 79,23,0,4,0,1,7,2,1,20,0,3,0,3,0,1,0
Route 80,51,0,13,0,0,17,4,3,7,25,9,5,2,3,4,3
Route 81,35,0,9,0,16,1,3,2,29,1,7,5,0,3,3,2
Route 82,0,13,3,2,10,0,1,0,17,0,3,0,1,1,1,1
Route 83,23,0,5,0,1,7,2,1,20,0,4,0,3,0,2,0
Route 84,16,0,3,0,8,0,1,0,14,0,2,0,2,0,1,0
Route 85,0,6,2,1,6,0,1,0,8,0,2,0,2,0,1,0
Route 86,16,0,3,0,8,0,1,0,14,0,2,0,2,0,1,0
Route 87,23,0,4,0,1,7,1,1,2,12,3,2,3,0,1,0
Route 88,16,0,3,0,8,0,1,0,14,0,2,0,2,0,1,0
Route 89,1,3,2,1,6,0,1,0,5,0,1,0,2,0,1,0
Route 90,16,0,6,0,8,0,2,0,14,0,3,0,2,0,1,0
Route 91,23,0,4,0,1,7,1,1,2,12,3,2,3,0,1,0
